 Metabolite_name	RefMet_name	HT1080_DMSO_01	HT1080_DMSO_02	HT1080_DMSO_03	HT1080_ML162_01	HT1080_ML162_02	HT1080_ML162_03	HT1080_ML210_01	HT1080_ML210_02	HT1080_ML210_03	HT1080_RSL3_01	HT1080_RSL3_02	HT1080_RSL3_03
Factors	-	Treatment:DMSO	Treatment:DMSO	Treatment:DMSO	Treatment:ML162	Treatment:ML162	Treatment:ML162	Treatment:ML210	Treatment:ML210	Treatment:ML210	Treatment:RSL3	Treatment:RSL3	Treatment:RSL3
alanine	Alanine	101551.9000	97807.1500	103232.4000	78917.6200	85744.7700	90654.8100	113286.1000	114503.8000	119594.4000	80702.5200	86634.9300	87881.4400
arginine	Arginine	94936.0400	96383.1500	92794.4600	132622.4000	127992.3000	109805.5000	107545.1000	112496.3000	116352.2000	112874.1000	132357.3000	115729.6000
aspartate	Aspartic acid	52178.5900	54141.8600	60268.8700	74655.2800	72813.8300	76963.9600	78907.9500	74708.0600	75020.9400	57969.2700	56438.7800	61164.6600
Glucose	Glucose	666613.1000	660280.6000	683906.8000	791808.9000	805293	732017	710907.2000	715462.2000	801161	731017.2000	863660.2000	763524.8000
glutamate	Glutamic acid	967403.2000	854600.5000	838844.3000	635458.8000	544856.1000	525247	713587.8000	672064.3000	606847.3000	611834.3000	546255.7000	541195.2000
glutamine	Glutamine	1654169	2001391	2311045	1458132	1688058	1822691	1806233	1885333	2128476	1372038	1627212	1855053
glutathione	Glutathione	19303.8200	24635.5700	29883.5800	15068.0900	15508.2100	19411.5400	25475.0500	22068.3700	19003.9200	20193.2600	15984.2800	19175.4300
glycine	Glycine	89332.6000	82858.0400	90238.8500	63316.2900	68282.8700	59567.2400	75291.3400	75085.2400	80861.6600	60361.9300	69885.1600	66789.2000
histidine	Histidine	94736.2900	114969.7000	130209.1000	108791.2000	125013.2000	113392.1000	123607.8000	129195.1000	150443.6000	92060.7700	131388.9000	132900.8000
isoleucine	Isoleucine	1376633	1439873	1489161	1543555	1772399	1436135	1468195	1498275	1785272	1420464	1853383	1509861
leucine	Leucine	2064003	1976074	2087769	2191078	2241593	2004691	2027068	2115165	2254332	2053952	2513751	2145853
lysine	Lysine	161918	169353.7000	177281.5000	227189.1000	232995.3000	205409.5000	189375.4000	204237.1000	223788.8000	195278.4000	235075.5000	215910.9000
methionine	Methionine	94855.7300	94607.1500	103346.7000	94532.8800	101688.9000	92447.2100	96885.0400	104997.3000	115198.8000	87474.7900	104949	98759.5500
phenylalanine	Phenylalanine	1089198	1018819	1083265	1156538	1198397	1068988	1096370	1128335	1252671	1050801	1247629	1156215
proline	Proline	17408.5500	22775.8800	22381.4800	14828.8000	12604.6500	15489.3300	26748.0500	24471.3800	23461.4800	17913.9400	17478.3500	23370.4200
serine	Serine	210768.4000	177742	168468.5000	135593.3000	111803.8000	96815.1900	152248	133635.4000	115592.1000	135994.1000	118238.9000	104438.7000
threonine	Threonine	979744.9000	941010	997598.5000	556799.9000	547907.8000	492506.6000	776963.2000	768381.2000	831801.5000	522066	641436.6000	557558.5000
tryptophan	Tryptophan	267201.5000	260168.2000	275271.2000	282037	295680.1000	254781.7000	265732.9000	285808.9000	299895.8000	264185	315798.8000	284527.3000
tyrosine	Tyrosine	670291.3000	627341.8000	661427.6000	707496	718016	648223	679079.2000	665386.6000	728373.2000	657806.2000	737360.6000	686001.2000
valine	Valine	809639.2000	760725.2000	781467.9000	882378.4000	921539.6000	812134.8000	813278.4000	824712.8000	868177.9000	825705.6000	932994.5000	857564.2000
													
