 Metabolite_name	RefMet_name	HT1080_DMSO_01	HT1080_DMSO_02	HT1080_DMSO_03	HT1080_ML162_01	HT1080_ML162_02	HT1080_ML162_03	HT1080_ML210_01	HT1080_ML210_02	HT1080_ML210_03	HT1080_RSL3_01	HT1080_RSL3_02	HT1080_RSL3_03
Factors	-	Treatment:DMSO	Treatment:DMSO	Treatment:DMSO	Treatment:ML162	Treatment:ML162	Treatment:ML162	Treatment:ML210	Treatment:ML210	Treatment:ML210	Treatment:RSL3	Treatment:RSL3	Treatment:RSL3
2-dehydro-D-gluconate	2-Dehydro-D-gluconic acid	1681.0630	1000	1358.5650	3551.6600	1550.7230	1381.7440	1581.9170	1045.4550	1585.8620	2785.9410	1380.2460	1501.7760
2-hydroxy-2-methylbutanedioate	Citramalic acid	6353728	5788824	6473928	5649644	6078020	5790394	6842502	6451418	6515564	5665662	6206106	6323622
2-keto-isovalerate	Ketoisovaleric acid	89396.9300	52462.9800	93677.7300	163184	73002.4500	72975.5900	72392.2900	80587.6500	85590.5900	158797.7000	89711.1500	93519.4700
3-phosphoglycerate	3-Phosphoglyceric acid	82959.7000	66399.7500	61797.7700	14526.6600	55861.2300	55704.5700	52988.5300	32311.1400	49360.6700	10274.2500	54527.7500	45729.1800
4-aminobutyrate	gamma-Aminobutyric acid	1051829	751368.5000	940448.7000	458982.6000	791705.6000	712483.8000	919933.8000	863733.8000	787778.1000	485094.7000	704948.9000	704682.7000
4-pyridoxic acid	4-Pyridoxic acid	6920.9280	6555.0210	7313.4120	7687.9060	7834.8700	6946.8810	7113.5810	8749.5170	7386.0110	5807.5130	6983.9160	7968.8870
6-phospho-D-gluconate	6-Phosphogluconic acid	13898.8600	15109.2000	13286	9131.5470	6144.3660	6487.5300	12368.0400	6650.9160	9545.6870	7939.9940	6772.9970	5843.9020
acetyl-CoA	Acetyl-CoA	3940.0630	3120.5760	3740.2120	4632.6230	4471.3680	3246.5680	7058.1030	4855.8470	4147.9940	3822.9540	3994.6150	4114.2500
aconitate	trans-Aconitic acid	30049.6400	23157.8100	31856.7600	36402.1800	27811.4700	29275.5600	19728.2100	20046.8300	21125.9700	38008.0800	29122.9900	35380.0500
ADP-D-glucose	ADP-glucose	29761.2500	31865.2800	26542.2800	32537.3100	32962.8800	33519.3000	28631.3700	24604.9800	24146.0400	36901.2000	28697.9000	26271.0600
alpha-ketoglutarate	2-Oxoglutaric acid	75807.4800	75484.1400	80732.4100	41617.2200	48035.0800	45095.5600	46820.3700	42355.7300	45775.9500	49619.8500	46083.7500	51774.9300
AMP	AMP	33701.7800	24124.1200	19677.8800	61938.4400	51308.6100	42266.7200	22037.9900	16303.9800	18979.4500	40983.6300	32649.1700	32861.3800
CDP	CDP	5475.3410	3886.7080	3794.2340	13847.0200	8704.3740	7603.7720	5758.8200	2205.7190	4415.3540	8071.8950	7120.3520	5385.4170
CDP-ethanolamine	CDP-Ethanolamine	1000	1000	1000	6708.2850	1886.6420	2091.4110	1000	1000	1000	3175.6370	1349.1930	1196.0670
citraconic acid	Citraconic acid	2473523	2190919	2460211	2196881	2316026	2277935	2690926	2525847	2482990	2067391	2344904	2400170
citrate	Citric acid	605450.2000	487248.6000	548041.2000	549674.7000	667318.2000	596350.1000	439669.1000	390053.2000	436521.1000	535308.6000	673068.9000	730447.2000
CMP	CMP	1000	1000	1000	2984.4190	2449.7700	2049.5100	1000	1000	1000	1937.8880	1318.9000	1369.7360
CTP	CTP	171333.5000	152276.9000	144085.9000	111531.6000	170076.3000	141852.9000	141132.1000	88589.3800	115394.1000	90945.3100	149111	144360.8000
dATP	dATP	11955.1900	16061.9400	11445.3100	4208.8820	5072.2080	4405.6250	9131.7110	7859.8370	7669.9560	4544.5600	6452.7420	6419.9440
dCTP	dCTP	8357.3370	7256.8630	7570.4960	1780.0310	3225.5060	2865.8290	6526.7810	3686.2890	5373.1040	2571.6180	4609.7730	3510.0310
deoxycholate	Deoxycholic acid	30169.1800	26195.1000	32447.4000	2897.3770	33889.4000	26136.4300	27983.4300	41518.7000	31298.9900	2377.5420	32627.4100	37121.0400
D-gluconate	Gluconic acid	5385.3150	4101.4060	17395.0200	139880.9000	4798.6780	20287.1100	3958.1450	2345.2010	2882.4320	82621.5300	2121.5090	22695.5400
dTTP	dTTP	55178.6800	58307.6600	61598.7300	16848.9400	26354.3500	27895.5900	43754.7700	29751.9500	36514.0100	17608.4900	29710.0100	33334.5900
FAD	FAD	2774.6140	3228.3040	2920.4100	2804.1880	2202.8750	2925.3810	2207.4300	1883.3150	1904.9860	3364.2250	2349.6010	2744.0750
FGAR	FGAR	10093.4600	8839.7980	9265.4410	1000	1000	1000	3637.0040	2736.1090	3518.2070	2029.7400	1199.3590	1187.3040
FMN	FMN	2868.1040	2228.4270	1853.9380	1981.4150	3420.5210	1137.8190	1274.8100	1050.3000	1138.2250	1530.8540	2528.2010	1948.2640
folate	Folic acid	122249.3000	113728.3000	110272.7000	144103.7000	139585.6000	110311.9000	117967.4000	118783.4000	130526.9000	127344.5000	120927.9000	124637.6000
fructose-1-6-bisphosphate	Fructose 1,6-bisphosphate	119747.4000	111922.4000	102637.4000	42537.1100	40215.4300	36559.3100	77769.0900	42903.6100	64149.6200	51071.0300	51812.6000	46725.5000
fumarate	Fumaric acid	304826	273098.2000	315684.5000	214720.3000	332727.8000	297920	257680.1000	224452.6000	238082.1000	161948.4000	243257.2000	235058.2000
GDP	GDP	16311.8900	6524.6030	5283.9700	16106.4500	16257.3300	13259.7300	6421.2850	2835.0810	5679.0760	10903.5300	11825.6300	8788.8460
glucose-1-phosphate	Glucose 1-phosphate	11654	9537.7410	10770.5300	1924.2970	3683.8490	3597.4520	6813.2100	4835.3870	7006.8810	5082.0160	5036.7300	4727.2300
glucose-6-phosphate	Glucose 6-phosphate	142936.3000	156238.8000	113090.6000	126049.8000	204029.6000	162217.7000	156783.7000	125657.8000	146841	107229.1000	150329.9000	143753
glutathione	Glutathione	104957.4000	134636.5000	124888	141460.8000	52847.2100	102715	119166.8000	53885.1400	36755.0700	185027.7000	81165.9400	82964
glutathione disulfide	Oxidized glutathione	1582559	1747003	1427331	1463436	1536026	1394758	1590863	1525242	1541865	1434069	1479243	1464677
glutathione-S-sulfonate		21468.3500	23800.7600	21998.5900	29320.3000	27639.2500	24005.1400	24328.5800	22756.0200	29479.8200	24312.6000	23731.9100	25764.5900
glycerol-3-phosphate	sn-Glycero-3-phosphate	237518.1000	191306	245068.3000	56406.5200	47987.1400	51717.5000	81857.1600	70747.5100	96211.9400	89422.9100	67866.4100	69261.2000
GTP	GTP	79956.4100	85247.3700	72763.2600	48237.6400	97154.0100	73497.7000	72316.6500	37307.3000	49950.9600	36448.8200	80400.9800	74764.0900
guanosine	Guanosine	1000	1032.2130	1000	3023.7760	2918.8470	2481.4410	2029.7040	2182.3470	2728.6360	2254.5120	2775.7490	2945.8450
indole-3-carboxylate	Indole-3-carboxylic acid	15823.5500	15185.3500	12018.1000	6265.7730	7710.8880	5772.6210	9487.4440	7871.6320	7238.7600	5365.9230	6658.0710	7189.2060
inosine	Inosine	1094.5770	1000	1000	6325.2360	7699.7600	5976.4900	3206.9640	2703.9360	3045.3330	3942.5760	5635.5940	4864.8440
isocitrate	Isocitric acid	49325.6800	48716.5100	56239.5100	70993.3400	55658.3000	49049.1600	37423.9800	42313.3400	34835.7100	77602.1500	54879.9400	61692.1800
kynurenine	Kynurenine	1634.6510	1596.9160	1736.4460	2395.5230	1936.7600	1531.2050	1621.0360	2148.0030	1684.8530	1719.7950	1415.5840	1589.7150
